"NSDUH_data.ID" "NSDUH_data.NEWRACE" "NSDUH_data.NEWRACE2"
"788" 788 1 1
"789" 789 1 1
"790" 790 1 1
"791" 791 1 1
"792" 792 1 1
"793" 793 7 7
"794" 794 2 2
"795" 795 1 1
"796" 796 1 1
"797" 797 1 1
"798" 798 7 7
"799" 799 1 1
"800" 800 1 1
"801" 801 1 1
"802" 802 7 7
"803" 803 2 2
"804" 804 1 1
"805" 805 1 1
"806" 806 5 5
"807" 807 1 1
"808" 808 7 7
"809" 809 1 1
"810" 810 1 1
"811" 811 1 1
"812" 812 1 1
"813" 813 1 1
"814" 814 7 7
"815" 815 1 1
"816" 816 6 6
"817" 817 1 1
"818" 818 6 6
"819" 819 1 1
"820" 820 7 7
"821" 821 1 1
"822" 822 1 1
"823" 823 1 1
"824" 824 1 1
"825" 825 2 2
"826" 826 3 3
"827" 827 1 1
"828" 828 1 1
"829" 829 1 1
"830" 830 7 7
"831" 831 1 1
"832" 832 2 2
"833" 833 2 2
"834" 834 7 7
"835" 835 1 1
"836" 836 1 1
"837" 837 1 1
"838" 838 1 1
"839" 839 1 1
"840" 840 1 1
"841" 841 1 1
"842" 842 7 7
"843" 843 7 7
"844" 844 1 1
"845" 845 2 2
"846" 846 2 2
"847" 847 1 1
"848" 848 1 1
"849" 849 6 6
"850" 850 1 1
"851" 851 7 7
"852" 852 1 1
"853" 853 1 1
"854" 854 1 1
"855" 855 1 1
"856" 856 1 1
"857" 857 1 1
"858" 858 1 1
"859" 859 1 1
"860" 860 7 7
"861" 861 1 1
"862" 862 2 2
"863" 863 1 1
"864" 864 1 1
"865" 865 1 1
"866" 866 7 7
"867" 867 1 1
"868" 868 7 7
"869" 869 1 1
"870" 870 1 1
"871" 871 1 1
"872" 872 1 1
"873" 873 1 1
"874" 874 2 2
"875" 875 3 3
"876" 876 1 1
"877" 877 1 1
"878" 878 7 7
"879" 879 1 1
"880" 880 1 1
"881" 881 1 1
"882" 882 1 1
"883" 883 2 2
"884" 884 7 7
"885" 885 1 1
"886" 886 1 1
"887" 887 1 1
"888" 888 1 1
"889" 889 1 1
"890" 890 1 1
"891" 891 1 1
"892" 892 1 1
"893" 893 1 1
"894" 894 2 2
"895" 895 7 7
"896" 896 2 2
"897" 897 2 2
"898" 898 1 1
"899" 899 1 1
"900" 900 1 1
"901" 901 7 7
"902" 902 7 7
"903" 903 1 1
"904" 904 1 1
"905" 905 1 1
"906" 906 2 2
"907" 907 6 6
"908" 908 1 1
"909" 909 1 1
"910" 910 1 1
"911" 911 1 1
"912" 912 7 7
"913" 913 1 1
"914" 914 1 1
"915" 915 1 1
"916" 916 1 1
"917" 917 1 1
"918" 918 2 2
"919" 919 7 7
"920" 920 7 7
"921" 921 1 1
"922" 922 7 7
"923" 923 1 1
"924" 924 7 7
"925" 925 1 1
"926" 926 1 1
"927" 927 7 7
"928" 928 1 1
"929" 929 7 7
"930" 930 1 1
"931" 931 1 1
"932" 932 7 7
"933" 933 1 1
"934" 934 1 1
"935" 935 5 5
"936" 936 1 1
"937" 937 1 1
"938" 938 1 1
"939" 939 1 1
"940" 940 1 1
"941" 941 6 6
"942" 942 5 5
"943" 943 1 1
"944" 944 1 1
"945" 945 3 3
"946" 946 7 7
"947" 947 5 5
"948" 948 1 1
"949" 949 1 1
"950" 950 2 2
"951" 951 1 1
"952" 952 1 1
"953" 953 7 7
"954" 954 1 1
"955" 955 1 1
"956" 956 1 1
"957" 957 1 1
"958" 958 1 1
"959" 959 2 2
"960" 960 1 1
"961" 961 7 7
"962" 962 2 2
"963" 963 1 1
"964" 964 7 7
"965" 965 1 1
"966" 966 1 1
"967" 967 2 2
"968" 968 1 1
"969" 969 7 7
"970" 970 7 7
"971" 971 1 1
"972" 972 2 2
"973" 973 5 5
"974" 974 1 1
"975" 975 1 1
"976" 976 1 1
"977" 977 6 6
"978" 978 1 1
"979" 979 7 7
"980" 980 1 1
"981" 981 1 1
"982" 982 1 1
"983" 983 1 1
"984" 984 1 1
"985" 985 6 6
"986" 986 1 1
"987" 987 7 7
"988" 988 1 1
"989" 989 1 1
"990" 990 2 2
"991" 991 1 1
"992" 992 3 3
"993" 993 7 7
"994" 994 1 1
"995" 995 1 1
"996" 996 1 1
"997" 997 1 1
"998" 998 1 1
"999" 999 7 7
"1000" 1000 1 1
"1001" 1001 2 2
"1002" 1002 7 7
"1003" 1003 1 1
"1004" 1004 7 7
"1005" 1005 7 7
"1006" 1006 2 2
"1007" 1007 1 1
"1008" 1008 1 1
"1009" 1009 1 1
"1010" 1010 7 7
"1011" 1011 1 1
"1012" 1012 1 1
"1013" 1013 1 1
"1014" 1014 1 1
"1015" 1015 1 1
"1016" 1016 6 6
"1017" 1017 1 1
"1018" 1018 1 1
"1019" 1019 1 1
"1020" 1020 7 7
"1021" 1021 7 7
"1022" 1022 1 1
"1023" 1023 1 1
"1024" 1024 1 1
"1025" 1025 5 5
"1026" 1026 1 1
"1027" 1027 7 7
"1028" 1028 7 7
"1029" 1029 1 1
"1030" 1030 7 7
"1031" 1031 1 1
"1032" 1032 2 2
"1033" 1033 6 6
"1034" 1034 2 2
"1035" 1035 2 2
"1036" 1036 2 2
"1037" 1037 1 1
"1038" 1038 1 1
"1039" 1039 1 1
"1040" 1040 3 3
"1041" 1041 3 3
"1042" 1042 1 1
"1043" 1043 1 1
"1044" 1044 1 1
"1045" 1045 2 2
"1046" 1046 1 1
"1047" 1047 2 2
"1048" 1048 1 1
"1049" 1049 1 1
"1050" 1050 7 7
"1051" 1051 7 7
"1052" 1052 1 1
